County,id2,Population,Deaths,rate,high_rate,low_rate,post_rate_mm,post_low,post_high,post_rate_hyp,post_low_hyp,post_high_hyp,post_rate_hypypst,post_low_hypst,post_high_hypst,post_rate_hyp_pty,post_low_hyp_pty,post_high_hyp_pty,log_rate
"Waldo County, Maine",23027,39364,10.0,2.540392236561325e-05,0,0,2.524849010895385e-05,1.1525943597664616e-05,4.146455682432971e-05,2.5307908297759346e-05,1.1150570600949077e-05,4.076294890633124e-05,2.6011912997827414e-05,1.1666495093600706e-05,4.144378800533162e-05,2.6011912997827414e-05,1.1666495093600706e-05,4.144378800533162e-05,-10.580606972018876
"Walker County, Alabama",1127,64967,63.0,9.697230901842473e-05,1,0,9.456367213203624e-05,7.181037991523674e-05,0.00011805450569072752,9.549191045437205e-05,7.303236134624935e-05,0.00011977559185842781,9.54486659244639e-05,7.271480253890805e-05,0.00012002618165713555,9.54486659244639e-05,7.271480253890805e-05,0.00012002618165713555,-9.241085094253219
"Walker County, Georgia",13295,67896,28.0,4.123954283021091e-05,0,0,4.0579895522958454e-05,2.636244050881082e-05,5.51608926945282e-05,4.093715778267241e-05,2.6280453739863315e-05,5.585019018280254e-05,4.082352622763968e-05,2.6662957961915925e-05,5.6179285439285996e-05,4.082352622763968e-05,2.6662957961915925e-05,5.6179285439285996e-05,-10.096112984468354
"Walker County, Texas",48471,71484,45.0,6.295114990767164e-05,0,0,6.167713582880674e-05,4.38441384986931e-05,7.86374628796583e-05,6.239005047386177e-05,4.443929475324778e-05,8.12436235451369e-05,6.205585640917248e-05,4.457712542871882e-05,8.021356908994284e-05,6.205585640917248e-05,4.457712542871882e-05,8.021356908994284e-05,-9.673151530640414
"Walla Walla County, Washington",53071,60340,28.0,4.640371229698376e-05,0,0,4.549472881090261e-05,2.863347111533831e-05,6.203992458823106e-05,4.5937892995138444e-05,3.009936374870857e-05,6.310825936741446e-05,4.573137968409559e-05,2.9359790155825083e-05,6.262421921521385e-05,4.573137968409559e-05,2.9359790155825083e-05,6.262421921521385e-05,-9.978131095531893
"Wallace County, Kansas",20199,1497,0.0,0.0,0,1,1.3229063026222882e-05,2.8023006382654825e-14,4.938939456870092e-05,1.178288571145194e-05,3.8742244906473654e-17,5.1209511022504786e-05,1.0599425370054282e-05,2.9396220174417464e-18,4.7901818377404425e-05,1.0599425370054282e-05,2.9396220174417464e-18,4.7901818377404425e-05,-16.977315754707732
"Waller County, Texas",48473,50115,14.0,2.7935747780105756e-05,0,0,2.7694835432665954e-05,1.3973220723353841e-05,4.1967078740159365e-05,2.7840024725969713e-05,1.4517309027182194e-05,4.282000335677488e-05,2.7781574645880112e-05,1.4162408480420944e-05,4.278774327548566e-05,2.7781574645880112e-05,1.4162408480420944e-05,4.278774327548566e-05,-10.485603406837754
"Wallowa County, Oregon",41063,6946,0.0,0.0,0,1,5.199046080409505e-06,1.1728764482207681e-12,2.0175837520862113e-05,3.994427447679111e-06,2.7213127559725858e-17,1.7663006098684187e-05,3.579611079677655e-06,7.75866531984524e-24,1.6328272761771686e-05,3.579611079677655e-06,7.75866531984524e-24,1.6328272761771686e-05,-16.977315754707732
"Walsh County, North Dakota",38099,10904,0.0,0.0,0,1,3.7362519011694557e-06,3.3128741558659234e-17,1.4028505880066509e-05,2.819069271103745e-06,4.1462152528426827e-19,1.233390473539859e-05,2.4728251462688743e-06,6.785407030652116e-24,1.1420253028357455e-05,2.4728251462688743e-06,6.785407030652116e-24,1.1420253028357455e-05,-16.977315754707732
"Walthall County, Mississippi",28147,14599,0.0,0.0,0,1,2.880450458745139e-06,2.7358102084299042e-15,1.1249111787917695e-05,2.083769136380402e-06,1.994869764491127e-18,9.1013792240074e-06,1.9234394356021617e-06,2.9694566333841975e-18,8.62867858250003e-06,1.9234394356021617e-06,2.9694566333841975e-18,8.62867858250003e-06,-16.977315754707732
