id2,County,Population,log_pop
18129,"Posey County, Indiana",25476,10.145492111491256
18131,"Pulaski County, Indiana",12660,9.446202695698167
18133,"Putnam County, Indiana",37436,10.530388087277148
18135,"Randolph County, Indiana",25082,10.129905736383995
18137,"Ripley County, Indiana",28846,10.269726614143455
18139,"Rush County, Indiana",16649,9.720105433544852
18141,"St. Joseph County, Indiana",269141,12.502990684827012
18143,"Scott County, Indiana",23730,10.074495349429808
18145,"Shelby County, Indiana",44324,10.699281570056216
18147,"Spencer County, Indiana",20648,9.93537374139845
18149,"Starke County, Indiana",23009,10.043640722719532
18151,"Steuben County, Indiana",34116,10.437521761439
18153,"Sullivan County, Indiana",20802,9.942804414913079
18155,"Switzerland County, Indiana",10527,9.261698664251325
18157,"Tippecanoe County, Indiana",188059,12.144511022365053
18159,"Tipton County, Indiana",15182,9.627865794576714
18161,"Union County, Indiana",7212,8.883501584323207
18163,"Vanderburgh County, Indiana",181721,12.110227822829803
18165,"Vermillion County, Indiana",15645,9.657906656102982
18167,"Vigo County, Indiana",107931,11.589247413040994
18169,"Wabash County, Indiana",31762,10.366025885670592
18171,"Warren County, Indiana",8166,9.007734471879521
18173,"Warrick County, Indiana",62498,11.042889835212481
18175,"Washington County, Indiana",27670,10.228104072780972
18177,"Wayne County, Indiana",66568,11.105979260580266
18179,"Wells County, Indiana",27949,10.238136699767878
18181,"White County, Indiana",23999,10.085767441795337
18183,"Whitley County, Indiana",33449,10.417777169743282
19001,"Adair County, Iowa",7092,8.866722667194098
19003,"Adams County, Iowa",3693,8.214194414852564
19005,"Allamakee County, Iowa",13884,9.538492376981678
19007,"Appanoose County, Iowa",12462,9.430439293104167
19009,"Audubon County, Iowa",5678,8.644354337032917
19011,"Benton County, Iowa",25699,10.154207359620441
